"time","ci","metric.mean_avg_processing_time","metric.mean_count","metric.mean_error_count","metric.mean_error_rate"
"2019-12-03T18:18:00.000Z","T2 Ticketing Domain Services","430",,"48",
"2019-12-03T18:18:00.000Z","T2 Web Services","227",,,"227"
"2019-12-03T18:18:00.000Z","UPSITE","113",,"248",
"2019-12-03T18:18:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","8",,,
"2019-12-03T18:19:00.000Z","ANCS Ancillary Services 1","10",,,
"2019-12-03T18:19:00.000Z","CENTIVA","29",,"11",
"2019-12-03T18:19:00.000Z","CKI Check-In Services","230",,"1488",
"2019-12-03T18:19:00.000Z","CKI Event Manager","544",,"12",
"2019-12-03T18:19:00.000Z","CKI Host Event Handler","226",,"0",
"2019-12-03T18:19:00.000Z","Community Portal","21",,"12",
"2019-12-03T18:19:00.000Z","Content Services Travel Protection XML","1631",,"0",
"2019-12-03T18:19:00.000Z","German Tour","18",,"0",
"2019-12-03T18:19:00.000Z","GetThere GTX2","558",,"39",
"2019-12-03T18:19:00.000Z","Master Configuration Tool",,,"64",
"2019-12-03T18:19:00.000Z","Payment FraudCheck Service","321",,,
"2019-12-03T18:19:00.000Z","Payment Internet Payment Engine","947",,"0",
"2019-12-03T18:19:00.000Z","Payment Merchant Services Fees Push Service","18",,,
"2019-12-03T18:19:00.000Z","Payment Merchant Services Fees Query Service","0",,"0",
"2019-12-03T18:19:00.000Z","Payment Merchant Services Fees Sale Service","6",,,
"2019-12-03T18:19:00.000Z","Payment Merchant Services Fees VoidRefund Service","15",,,
"2019-12-03T18:19:00.000Z","Payment PSS Service","736",,"52",
"2019-12-03T18:19:00.000Z","Payment Processor Service","707",,"117",
"2019-12-03T18:19:00.000Z","Payment Query Service","197",,"17",
"2019-12-03T18:19:00.000Z","Payment Remote Service","20",,"0",
"2019-12-03T18:19:00.000Z","REST Application Facade","0",,,
"2019-12-03T18:19:00.000Z","Red App Center",,,"1",
"2019-12-03T18:19:00.000Z","SHS CCRS Universal Message Broker","37.82150727883281",,,
"2019-12-03T18:19:00.000Z","SRW Sabre Red Workspace","90.5",,"8",
"2019-12-03T18:19:00.000Z","SSW Digital Experience AWS","1",,"0",
"2019-12-03T18:19:00.000Z","SSW Service Engine","928",,"266",
"2019-12-03T18:19:00.000Z","Sabre Cruise",,,"0",
"2019-12-03T18:19:00.000Z","Sabre Geographical Services","4",,,
"2019-12-03T18:19:00.000Z","Sabre Web Services","434",,"5456",
"2019-12-03T18:19:00.000Z","Service Health Portal","490.06847256804326","94","89.66666666666667",
"2019-12-03T18:19:00.000Z","T2 Agent Sales Report","53",,"0",
"2019-12-03T18:19:00.000Z","T2 Data Management Services","83",,"21",
"2019-12-03T18:19:00.000Z","T2 EMD Comp Voucher","0",,,
"2019-12-03T18:19:00.000Z","T2 Electronic Tktng HUB","169",,"65",
"2019-12-03T18:19:00.000Z","T2 Ticketing Domain Services","427",,"66",
"2019-12-03T18:19:00.000Z","T2 Web Services","226",,,"226"
"2019-12-03T18:19:00.000Z","UPSITE","166",,"186",
"2019-12-03T18:19:00.000Z","eHotels GDS Shopping Service for Open Systems (ShopServer)","7",,,
"2019-12-03T18:20:00.000Z","ANCS Ancillary Services 1","11",,,
"2019-12-03T18:20:00.000Z","CENTIVA","45",,"14",
"2019-12-03T18:20:00.000Z","CKI Check-In Services","206",,"1443",
"2019-12-03T18:20:00.000Z","CKI Event Manager","162",,"1",
"2019-12-03T18:20:00.000Z","CKI Host Event Handler","189",,"0",
"2019-12-03T18:20:00.000Z","Community Portal","21",,"6",
"2019-12-03T18:20:00.000Z","Content Services Travel Protection XML","1792",,"0",
"2019-12-03T18:20:00.000Z","German Tour","36",,"0",
