MariaDB [grafana]> \. ~/sql1.sql
+-------+--------+--------------+----------+------+-----------+-----------------------------+
| id    | org_id | dashboard_id | panel_id | type | region_id | substr(text,117,126)        |
| 17843 |      2 |         2753 |        2 |      |     17842 | CHG0333618</a>: Test change |
| 17844 |      2 |         2753 |        3 |      |     17844 | CHG0333628</a>: Test 4      |
| 17845 |      2 |         2753 |        3 |      |     17844 | CHG0333628</a>: Test 4      |
| 17846 |      2 |         2753 |        3 |      |     17846 | CHG0333627</a>: Test 3      |
| 17847 |      2 |         2753 |        3 |      |     17846 | CHG0333627</a>: Test 3      |
| 17848 |      2 |         2753 |        3 |      |     17848 | CHG0333619</a>: Test 2      |
| 17849 |      2 |         2753 |        3 |      |     17848 | CHG0333619</a>: Test 2      |
| 17850 |      2 |         2753 |        3 |      |     17850 | CHG0333618</a>: Test change |
| 17851 |      2 |         2753 |        3 |      |     17850 | CHG0333618</a>: Test change |
| 17853 |      2 |         2753 |        1 |      |     17853 | CHG0333628</a>: Test 4      |
| 17854 |      2 |         2753 |        1 |      |     17853 | CHG0333628</a>: Test 4      |
| 17855 |      2 |         2753 |        1 |      |     17855 | CHG0333627</a>: Test 3      |
| 17856 |      2 |         2753 |        1 |      |     17855 | CHG0333627</a>: Test 3      |
| 17857 |      2 |         2753 |        1 |      |     17857 | CHG0333619</a>: Test 2      |
| 17858 |      2 |         2753 |        1 |      |     17857 | CHG0333619</a>: Test 2      |
| 17859 |      2 |         2753 |        1 |      |     17859 | CHG0333618</a>: Test change |
| 17860 |      2 |         2753 |        1 |      |     17859 | CHG0333618</a>: Test change |
| 17861 |      2 |         2753 |        2 |      |     17861 | CHG0333628</a>: Test 4      |
| 17862 |      2 |         2753 |        2 |      |     17861 | CHG0333628</a>: Test 4      |
| 17863 |      2 |         2753 |        2 |      |     17863 | CHG0333627</a>: Test 3      |
| 17864 |      2 |         2753 |        2 |      |     17863 | CHG0333627</a>: Test 3      |
| 17865 |      2 |         2753 |        2 |      |     17865 | CHG0333619</a>: Test 2      |
| 17866 |      2 |         2753 |        2 |      |     17865 | CHG0333619</a>: Test 2      |
| 17867 |      2 |         2753 |        2 |      |     17867 | CHG0333618</a>: Test change |
| 17868 |      2 |         2753 |        2 |      |     17867 | CHG0333618</a>: Test change |
| 17869 |      2 |         2753 |        3 |      |     17869 | CHG0333628</a>: Test 4      |
| 17870 |      2 |         2753 |        3 |      |     17869 | CHG0333628</a>: Test 4      |
| 17871 |      2 |         2753 |        3 |      |     17871 | CHG0333627</a>: Test 3      |
| 17872 |      2 |         2753 |        3 |      |     17871 | CHG0333627</a>: Test 3      |
| 17873 |      2 |         2753 |        3 |      |     17873 | CHG0333619</a>: Test 2      |
| 17874 |      2 |         2753 |        3 |      |     17873 | CHG0333619</a>: Test 2      |
| 17875 |      2 |         2753 |        3 |      |     17875 | CHG0333618</a>: Test change |
| 17876 |      2 |         2753 |        3 |      |     17875 | CHG0333618</a>: Test change |
| 17877 |      2 |         2753 |        1 |      |     17877 | CHG0333628</a>: Test 4      |
| 17878 |      2 |         2753 |        1 |      |     17877 | CHG0333628</a>: Test 4      |
| 17879 |      2 |         2753 |        1 |      |     17879 | CHG0333627</a>: Test 3      |
| 17880 |      2 |         2753 |        1 |      |     17879 | CHG0333627</a>: Test 3      |
| 17881 |      2 |         2753 |        1 |      |     17881 | CHG0333619</a>: Test 2      |
| 17882 |      2 |         2753 |        1 |      |     17881 | CHG0333619</a>: Test 2      |
| 17883 |      2 |         2753 |        1 |      |     17883 | CHG0333618</a>: Test change |
| 17884 |      2 |         2753 |        1 |      |     17883 | CHG0333618</a>: Test change |
| 17885 |      2 |         2753 |        2 |      |     17885 | CHG0333628</a>: Test 4      |
| 17886 |      2 |         2753 |        2 |      |     17885 | CHG0333628</a>: Test 4      |
| 17887 |      2 |         2753 |        2 |      |     17887 | CHG0333627</a>: Test 3      |
| 17888 |      2 |         2753 |        2 |      |     17887 | CHG0333627</a>: Test 3      |
| 17889 |      2 |         2753 |        2 |      |     17889 | CHG0333619</a>: Test 2      |
| 17890 |      2 |         2753 |        2 |      |     17889 | CHG0333619</a>: Test 2      |
| 17891 |      2 |         2753 |        2 |      |     17891 | CHG0333618</a>: Test change |
| 17892 |      2 |         2753 |        2 |      |     17891 | CHG0333618</a>: Test change |
| 17893 |      2 |         2753 |        3 |      |     17893 | CHG0333628</a>: Test 4      |
| 17894 |      2 |         2753 |        3 |      |     17893 | CHG0333628</a>: Test 4      |
| 17895 |      2 |         2753 |        3 |      |     17895 | CHG0333627</a>: Test 3      |
| 17896 |      2 |         2753 |        3 |      |     17895 | CHG0333627</a>: Test 3      |
| 17897 |      2 |         2753 |        3 |      |     17897 | CHG0333619</a>: Test 2      |
| 17898 |      2 |         2753 |        3 |      |     17897 | CHG0333619</a>: Test 2      |
| 17899 |      2 |         2753 |        3 |      |     17899 | CHG0333618</a>: Test change |
| 17900 |      2 |         2753 |        3 |      |     17899 | CHG0333618</a>: Test change |
| 17901 |      2 |         2753 |        1 |      |     17901 | CHG0333628</a>: Test 4      |
| 17902 |      2 |         2753 |        1 |      |     17901 | CHG0333628</a>: Test 4      |
| 17903 |      2 |         2753 |        1 |      |     17903 | CHG0333627</a>: Test 3      |
| 17904 |      2 |         2753 |        1 |      |     17903 | CHG0333627</a>: Test 3      |
| 17905 |      2 |         2753 |        1 |      |     17905 | CHG0333619</a>: Test 2      |
| 17906 |      2 |         2753 |        1 |      |     17905 | CHG0333619</a>: Test 2      |
| 17907 |      2 |         2753 |        1 |      |     17907 | CHG0333618</a>: Test change |
| 17908 |      2 |         2753 |        1 |      |     17907 | CHG0333618</a>: Test change |
| 17909 |      2 |         2753 |        2 |      |     17909 | CHG0333628</a>: Test 4      |
| 17910 |      2 |         2753 |        2 |      |     17909 | CHG0333628</a>: Test 4      |
| 17911 |      2 |         2753 |        2 |      |     17911 | CHG0333627</a>: Test 3      |
| 17912 |      2 |         2753 |        2 |      |     17911 | CHG0333627</a>: Test 3      |
| 17913 |      2 |         2753 |        2 |      |     17913 | CHG0333619</a>: Test 2      |
| 17914 |      2 |         2753 |        2 |      |     17913 | CHG0333619</a>: Test 2      |
| 17915 |      2 |         2753 |        2 |      |     17915 | CHG0333618</a>: Test change |
| 17916 |      2 |         2753 |        2 |      |     17915 | CHG0333618</a>: Test change |
| 17917 |      2 |         2753 |        3 |      |     17917 | CHG0333628</a>: Test 4      |
| 17918 |      2 |         2753 |        3 |      |     17917 | CHG0333628</a>: Test 4      |
| 17919 |      2 |         2753 |        3 |      |     17919 | CHG0333627</a>: Test 3      |
| 17920 |      2 |         2753 |        3 |      |     17919 | CHG0333627</a>: Test 3      |
| 17921 |      2 |         2753 |        3 |      |     17921 | CHG0333619</a>: Test 2      |
| 17922 |      2 |         2753 |        3 |      |     17921 | CHG0333619</a>: Test 2      |
| 17923 |      2 |         2753 |        3 |      |     17923 | CHG0333618</a>: Test change |
| 17924 |      2 |         2753 |        3 |      |     17923 | CHG0333618</a>: Test change |
| 17925 |      2 |         2753 |        1 |      |     17925 | CHG0333628</a>: Test 4      |
| 17926 |      2 |         2753 |        1 |      |     17925 | CHG0333628</a>: Test 4      |
| 17927 |      2 |         2753 |        1 |      |     17927 | CHG0333627</a>: Test 3      |
| 17928 |      2 |         2753 |        1 |      |     17927 | CHG0333627</a>: Test 3      |
| 17929 |      2 |         2753 |        1 |      |     17929 | CHG0333619</a>: Test 2      |
| 17930 |      2 |         2753 |        1 |      |     17929 | CHG0333619</a>: Test 2      |
| 17931 |      2 |         2753 |        1 |      |     17931 | CHG0333618</a>: Test change |
| 17932 |      2 |         2753 |        1 |      |     17931 | CHG0333618</a>: Test change |
| 17933 |      2 |         2753 |        2 |      |     17933 | CHG0333628</a>: Test 4      |
| 17934 |      2 |         2753 |        2 |      |     17933 | CHG0333628</a>: Test 4      |
| 17935 |      2 |         2753 |        2 |      |     17935 | CHG0333627</a>: Test 3      |
| 17936 |      2 |         2753 |        2 |      |     17935 | CHG0333627</a>: Test 3      |
